Object Type,Title,Item ARK,Parent ARK,File Name,AltTitle.other,collection.physical,Contents note,Date.created,Date.normalized,Description.latitude,Description.longitude,Description.note,Format.dimensions,Format.extent,Format.medium,Genre,Language,Local identifier,Name.creator,Named subject,Note,Place of origin,Publisher.publisherName,Repository,Resource type,Rights.copyrightStatus,Rights.rightsHolderContact,Statement of Responsibility,Subject,Subject geographic,Subject temporal,Creator
Collection,Fataluku Language and Culture,ark:/21198/z1f20r89,,asfd/,,,,,,,,"This project supports the preservation of critically endangered Vaihoho sung-stories of the Fataluku people of Timor-Leste. Vaihoho are considered the Fataluku’s most valued repertoire, as the major form of their continuing oral tradition. From 1999-2014, cultural leader Justino Valentim (deceased), recorded a significant amount of vaihoho material. Up until 2019 this handwritten collection was stored in exercise books at his family home. In danger of vanishing with the last of the knowledge-holders, the collection was digitally recorded and archived, to honour Justino Valentim’s intention to keep the oral tradition alive for future generations so they would know their own culture.

The collection consists of 17 sung poems gathered from Fataluku communities across the Lautem region of Timor-Leste and 5 Fataluku language dictionaries.

 

Project partners

    Valentim family (owners of collection)
    NGO Many Hands International (incountry archival partner)
    University of Melbourne (host institution/project owner)
    State Secretariat for Art and Culture, Timor-Leste Government (in-country partner)
    District Administration of Lautem

 

Projetu ne'e apoia prezervasaun Kantigu vaihoho ema Fataluku iha Timor Leste neebe amiasadu atu sai lakon. Vaihoho hanesan patrimoniu ho

neebe valor as liu husi ema Fataluku, nomos nu'udar forma boot ida husi sira-nia tradisaun orál ne'ebé la'o nafatin. Husi tinan 1999-2014, lider kulturál Justino Valentim (matebian) rejista materiál vaiho barak. To'o tinan 2019, koleksaun vaihoho neebe rekolla iha livru sira ne'e rai iha nia família nia uma. Tamba amiasadu atu lakon ho ema matenek-na'in sira-nia istória ikus, Dadus neebe rekolla no grava digitalmente hodi arkiva atu fó onra ba Justino Valentim nia intensaun atu mantein tradisaun orál ne'ebé moris ba jerasaun futuru atu nune'e sira bele hatene sira-nia kultura rasik. Keleksaun ne'e kompostu husi kantigu poema 17 rekolla husi komunidade Fataluku iha rejiaun Lautem no disionáriu lian Fataluku 5.

 

Parseiru sira ba projetu

    Familia husi Valentim (nain ba koleksaun)
    NGO Many Hands International (parseiru arkivu iha rai laran)
    Universidade Melbourne (umana'in ba projetu)
    Sekretaria Estadu Arte no Kultura, Governu Timor-Leste (parseiru nasaun nian)
    Administrasaun Municipiu Lautem
The Fataluku people of Timor-Leste have a sacred form of storytelling known as Vaihoho, the dominant form of an ongoing oral tradition. A late cultural leader of the Fataluku people, Justino Valentim, recorded and preserved a significant amount of this tradition in exercise books and hard-drives, which are stored in his family home. In addition to the written records of the Vaihoho songs, the University of Melbourne (Australia) focuses their project on a collection of notes, poems, and photos involving Vaihoho. The material dates from 1999-2014.

The Fataluku population is spread across various clans (rutu in Fataluku), and it is rare for any individual researcher to be allowed permission to obtain cultural data from the different clans. Justino Valentim was an expert in Fataluku culture as well as a recognized member of the resistance who dedicated his life to the community’s well-being-- this allowed him to be successful in researching and recording the population’s cultural practices.

The practice of Vaihoho is critically endangered. As time progressed, war and colonization discouraged younger generations from learning and engaging in Vaihoho practices. In response to these circumstances, Valentim worked for years gathering a large collection of Vaihoho song-poems and accompanying music from across Fataluku country. However, the collection has not been stored adequately to preserve their safety nor make them accessible. Valentim's family and former employer (NGO Many Hands International) are now seeking to honor Justino's intention of giving his community access to their material culture, and to ensure that the collection be protected from harm.

In addition to its use for anthropologists, ethnomusicology researchers, and historians, this collection is of great community and sentimental value for those in Timor-Leste. The University of Melbourne’s digitization work on Valentim’s archive will allow users to explore the historical Vaihoho tradition and will serve as a link between all generations that forebear the Fataluku culture",,,,,,,,,,,,Valentim Home,,copyrighted,Many Hands International contact@manyhands.org.au,,Timor Leste languages|~|Fataluku language|~|Fataluku sung poems|~|Vaihoho|~|Fataluku oral traditions,,,
Work,Fataluku Waihohonu Aiknanoik 828,ark:/21198/z15h97wk,ark:/21198/z1f20r89,asfd/jv_vaihoho_0001.pdf,,Justino Valentim Fataluku Collection,"This book was prepared in collaboration with Mr Michio Takahachi from the Timor Loro Sa'e-Nippon Culture Center (TNCC), who is now deceased.  Many attempts have been made to contact the Nippon Culture Center without success.  Known cultural collaborators were contacted about the project.","August 25, 2004",2004-08-25,,,"This book documents 828 sung verses of Vaihoho from cultural collaborators in the Lautem District of Timor Leste.  Señor Valentim explains in the Fataluku language introduction that he was prompted to record Vaihoho (sung poems) because they were not practised or understood by younger generations, and are in danger of being lost.  The sung poems include descriptions of traditional marriage arrangements, and dealing with disagreements between different groups.",210 mm x 296 mm,47 pages,,pamphlet,ddg,jv_vaihoho_0001,"Valentim, Justino (Cailoru)",,,"Titilari, Suco Fuiloro, Lospalos, Lautem District, Timor Leste",Timor Loro Sa'e-Nippon Culture Center (TNCC),Valentim Home,text,unknown,Many Hands International contact@manyhands.org.au,,Timor Leste languages|~|Fataluku language|~|Fataluku sung poems|~|Vaihoho|~|Fataluku oral traditions,,,Timor Loro Sa'e-Nippon Culture Center (TNCC)
Work,Fataluku Vaihohonu,ark:/21198/z11v76kk,ark:/21198/z1f20r89,asfd/jv_vaihoho_0002.pdf,,Justino Valentim Fataluku Collection,"Cultural collaborators are named, as well as the tribe to which each collaborator belongs.  Señor Valentim is Cailoru, other tribal names are Aca Loho, Latu Loho and Asale.  Individuals in the women's group from Malahara (Lata Malahara i tupurara)  are not named individually.","November 30, 2012",2012-11-30,,,This booklet documents Fataluku language Vaihoho (sung poems) handed down through generations. The sung poems cover various topics including forging good relationships between groups.,213 mm x 296 mm,38 pages,,pamphlet,ddg,jv_vaihoho_0002,"Valentim, Justino (Cailoru)",,,"Titilari, Suku Fuiloro, Lospalos, Lautem District, Timor Leste",Timor Loro Sa'e-Nippon Culture Center (TNCC),Valentim Home,text,unknown,Many Hands International contact@manyhands.org.au,,Timor Leste languages|~|Fataluku language|~|Fataluku sung poems|~|Vaihoho|~|Fataluku oral traditions,,,Timor Loro Sa'e-Nippon Culture Center (TNCC)
Work,Untitled Book 1,ark:/21198/z1x36q42,ark:/21198/z1f20r89,asfd/jv_vaihoho_0003.pdf,,Justino Valentim Fataluku Collection,"Depending on the situation, for example the dedication of an 'uma lulik' (sacred house) or traditional marriage negotiations, older Vaihoho practioners may use a high version of Fataluku, which is not well understood by speakers of domestic Fataluku.","September, 2005",2005-09-00,,,"Extract from a small notebook with handwritten documentation of Vaihoho sung poems from Tutuala tribes.  The language is high Fataluku, used for ceremonial purposes.",76 mm x 110 mm,7 pages,,notebook,ddg,jv_vaihoho_0003,"Valentim, Justino (Cailoru)",,,,,Valentim Home,text,unknown,Many Hands International contact@manyhands.org.au,,Timor Leste languages|~|Fataluku language|~|Fataluku sung poems|~|Vaihoho|~|Fataluku oral traditions,,,
Work,Apontamentos Draft Fataluku,ark:/21198/z1sb5zbf,ark:/21198/z1f20r89,asfd/jv_vaihoho_0004.pdf,,Justino Valentim Fataluku Collection,The cultural contributors are named on page 0012.  Benidito Rodrigues is renamed Benedito Marques on page 0013.,April and November 2003,2003-04-01/2003-11-01,,,"Extract from a larger notebook detailing Fataluku Vaihoho sung poems.  Pages _0006_a and _0006_b include Fataluku Vaihoho stanzas on the left, with Tetum explanation of the significance of the stanzas, rather than a direct translation into Tetum. 
",211 mm x 304 mm,14 pages,,notebook,ddg,jv_vaihoho_0004,"Valentim, Justino (Cailoru)",,,,,Valentim Home,text,unknown,Many Hands International contact@manyhands.org.au,,Timor Leste languages|~|Fataluku language|~|Fataluku sung poems|~|Vaihoho|~|Fataluku oral traditions,,,
Work,Untitled Notes 1,ark:/21198/z1nk56kn,ark:/21198/z1f20r89,asfd/jv_vaihoho_0005.pdf,,Justino Valentim Fataluku Collection,Undated loose papers transcribing Fataluku Vaihoho verses.  The cultural contributors are not designated.,1999-2014,1999/2014,,,"Notes collected by Justino Valentim delineating Vaihoho sung poems: friendly partings and saying goodbye before going to home villages.  The language is high, formal Fataluku.",220 mm x 303 mm,4 pages,,field notes,ddg,jv-vaihoho_0005,"Valentim, Justino (Cailoru)",,,,,Valentim Home,text,unknown,Many Hands International contact@manyhands.org.au,,Timor Leste languages|~|Fataluku language|~|Fataluku sung poems|~|Vaihoho|~|Fataluku oral traditions,,,
Work,Untitled Notes 2,ark:/21198/z1ht4fwc,ark:/21198/z1f20r89,asfd/jv_vaihoho_0006.pdf,,Justino Valentim Fataluku Collection,"An example of halu vaihoho can be found at

https://www.youtube.com/watch?v=mIOwcI85dL8&t=61s",1999-2014,1999/2014,,,"Thirteen loose pages previously held in a folder, with Vaihoho from Mr. Manuel Xisto.  The Vaihoho uses metaphoric language to depict romantic relationships, traditional marriage, and the plight of orphans.  Pages _0012 and _0013 deal directly with the Indonesian invasion and occupation.
Halu vaihoho (war song) tell about the tragedy of the conflict and massacres involved when Indonesia occupied Timor Leste. Many people were killed, but some were able to escape by hiding in forest areas.",210 mm x 296 mm,13 pages,,field notes,ddg,jv_vaihoho_0006,"Valentim, Justino (Cailoru)",,,,,Valentim Home,text,unknown,Many Hands International contact@manyhands.org.au,,Timor Leste languages|~|Fataluku language|~|Fataluku sung poems|~|Vaihoho|~|Fataluku oral traditions,,,
Work,Untitled Book - Mr. Orlando,ark:/21198/z1d23q6t,ark:/21198/z1f20r89,asfd/jv_vaihoho_0007.pdf,,Justino Valentim Fataluku Collection,,1999-2014,1999/2014,,,"Transcriptions of Vaihoho by Senor Valentim recorded in an exercise book.  Senor Gonsalves (deceased) is the knowledge holder.  The languauge is in high Fataluku, which few people now use or understand.  Content of the sung poems is in two parts.  Up to verse 26 are poems for the Cailoru tribal people, detailing local places, traditional names of people and orphan farewells.  From verse 27 the vaihoho are about romantic relations among young girls and young boys.",164 mm x 210 mm,20 pages,,notebook,ddg,jv_vaihoho_0007,"Valentim, Justino (Cailoru)|~|Gonsalves, Orlando (Cailoro)",,,,,Valentim Home,text,unknown,Many Hands International contact@manyhands.org.au,,Timor Leste languages|~|Fataluku language|~|Fataluku sung poems|~|Vaihoho|~|Fataluku oral traditions,,,
Work,Untitled Book - Mr. Inacio (Ira-Ara/Larinu),ark:/21198/z1892zhj,ark:/21198/z1f20r89,asfd/jv_vaihoho_0008.pdf,,Justino Valentim Fataluku Collection,"Senhor Inacio Conceiçāo is an elder from the sub-village of Ira-Ara in Lospalos.  He is from the Naza Ratu (tribe).

",1999-2014,1999/2014,,,"Transcription of tradiitional vaihoho by Senhor Valentim, from Senhor Inacio da Conceiçāo.  The language is high, ritual Fataluku.

_0003 'En iharala vaihoho' is about traditional marriage and 'Hini vaihoho' is an orphan's lament;  
_0004 'En orontafan i vaihoho' is about husking rice;  
_0005 and _0006 'Ete seilana (Ete seilen) Leuli vaihoho' is about hauling logs from the forest, that will be used to make a traditional house (Uma Lulik);
_0007 'Txele Sipilen vaihoho' about harvesting corn together, call and response in conjunction with _0008;
_0008 'Txele Sipilana vaihoho' response to _0007.
_0009 'Aletielen Leuli vaihoho' about rice harvesting
_0010 and _0011 call and response vaihoho",160 mm x 206 mm,25 pages,,notebook,ddg,jv_vaihoho_0008,"Valentim, Justino (Cailoru)|~|da Conceiçāo, Inacio (Nazaratu)",,,,,Valentim Home,text,unknown,Many Hands International contact@manyhands.org.au,,Timor Leste languages|~|Fataluku language|~|Fataluku sung poems|~|Vaihoho|~|Fataluku oral traditions,,,
Work,Untitled Book - Inacio Conceição 2,ark:/21198/z14n0x6j,ark:/21198/z1f20r89,asfd/jv_vaihoho_0009.pdf,,Justino Valentim Fataluku Collection,Handwritten verses in exercise book.,1999-2014,1999/2014,,,"This is the second notebook from Senhor Inacio Da Conceiçāo obtained by Senhor Justino Valentim, documenting vaihoho sung poems (First notebook is jv_vaihoho_0008).   This notebook describes vaihoho from the Pitileti Naza ratu (tribe) from Ira-Ara sub-village in Lospalos.

Most of the Vaihoho are in high Fataluku and include Vaihoho sung at traditional marriage ceremonies, references traditional names and working songs.  Pages _0003, _0004,  _0029 and _0030, use everyday Fataluku and are about the war and Indonesian occupation.
",160 mm x 240 mm,32 pages,,notebook,ddg,jv_vaihoho_0009,"Valentim, Justino (Cailoru)|~|da Conceição, Inacio (Nazaratu)",,,,,Valentim Home,text,unknown,Many Hands International contact@manyhands.org.au,,Timor Leste languages|~|Fataluku language|~|Fataluku sung poems|~|Vaihoho|~|Fataluku oral traditions,,,
