Object Type,Title,Item ARK,Parent ARK,File Name,AltTitle.other,collection.physical,Contents note,Date.created,Date.normalized,Description.latitude,Description.longitude,Description.note,Format.dimensions,Format.extent,Format.medium,Genre,Language,Local identifier,Name.creator,Named subject,Note,Place of origin,Publisher.publisherName,Repository,Resource type,Rights.copyrightStatus,Rights.rightsHolderContact,Statement of Responsibility,Subject,Subject geographic,Subject temporal
Collection,Louis Dupree and Nancy Dupree Collection,ark:/21198/z16d7kmn,,sadfdsf./,,,,,,,,"The Afghanistan Center at Kabul University (ACKU) project will digitize, catalogue, and provide open access to a unique collection of photographs created by Dr. Louis Dupree and his wife, Nancy Hatch Dupree. The photographs document a wide array of topics regarding life in Afghanistan from the 1950's until the early 2000's, including cultural heritage, architecture, landscape, and art. The archive is not only of historical importance, but is also invaluable for scholarly work as the images capture the country from the pre-war era to post-conflict.Dr. Louis and Nancy Dupree, husband and wife, spent over fifty years capturing photos of the evolution of physical structures and social life of Afghanistan, documenting the country’s transition from the pre-war era to post-conflict. The late Nancy Dupree gifted the ACKU with this collection of approximately five thousand photographic slides. The ACKU’s project with MEAP preserves this historically essential content through digitization and cataloguing materials.

The Duprees captured images across Afghanistan throughout the second half of the twentieth century-- a time when the country was a key location for the Soviet Union and the United States during the Cold War (1947-1991). The photo collection records the destruction and cultural consequences of the war through rare visual materials of Afghan cultural heritage, Kabul architecture, landscapes, archaeological materials, art, and even objects from the Kabul Museum.

In addition to the cultural and historical significance of this collection, the materials are also important for scholarly research, as they provide a different perspective from conventional texts on societal development in the country during the time. The Duprees’ collection represents Afghanistan in different key eras revolving around conflict and includes the intricacies of how conflict affected the country. With this archive, users will be able to study Afghanistan’s developments in politics, culture, history, and geography over a span of fifty years. 
 
The ACKU

The Afghanistan Center at Kabul University (ACKU) is a renowned professional research organization with extensive experience in digitization and cataloguing archives, and is known to be the most efficient with this work in the region. The ACKU’s project with MEAP to digitize the Duprees’ photographic archive will be part of their larger digitization efforts implemented in their center.

Since 2007, the ACKU library has digitized collections in order to preserve materials and to provide access to content. The archive holds over 160,000 physical collections, including newspapers, books, images, and audio recordings-- the center had digitized nearly 50% of these materials by the start of this project.",,,,,,,,,,,,ACKU Library Department Special Collection,,copyrighted,info@acku.edu.af,,,,
Work,"Mother Goddesses Deh Morasi Ghundai, Kandahar Province",ark:/21198/z1xw6bb4,ark:/21198/z16d7kmn,sadfdsf./acku_dupree_slide_1951_01919.tif,,Louis Dupree and Nancy Dupree Collection,,1951,1951,,,,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1951_01919,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1951|~|Afghanistan|~|Kandahar|~|Deh Morasi Ghundai|~|Mother Goddesses|~|Terracotta Figurine|~|Height 6 cm|~|Bronze Age|~|Mundigak,,
Work,Surkh Kotal Staircase; Baghlan Province 1,ark:/21198/z1t45kn5,ark:/21198/z16d7kmn,sadfdsf./acku_dupree_slide_1951_01999.tif,,Louis Dupree and Nancy Dupree Collection,,1951,1951,,,,5 cm x 5 cm,1 Photograph,35 mm Slide,black-and-white photographs,eng,acku_dupree_slide_1951_01999,"Fussman, Gerard",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1951|~|Afghanistan|~|Baghlan|~|Surkh Kotal|~|Red Pass|~|Staircase|~|Excavations|~|Monumental Staircase|~|Hills|~|Black and White,,
Work,Surkh Kotal Staircase; Baghlan Province 2,ark:/21198/z1pc4v0r,ark:/21198/z16d7kmn,sadfdsf./acku_dupree_slide_1951_02000.tif,,Louis Dupree and Nancy Dupree Collection,,1951,1951,,,,5 cm x 5 cm,1 Photograph,35 mm Slide,black-and-white photographs,eng,acku_dupree_slide_1951_02000,"Fussman, Gerard",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1951|~|Afghanistan|~|Baghlan|~|Surkh Kotal|~|Red Pass|~|Staircase|~|Archaeologists|~|Monumental Staircase|~|Black and White|~|Hills,,
Work,Surkh Kotal Staircase; Baghlan Province 3,ark:/21198/z1jm439v,ark:/21198/z16d7kmn,sadfdsf./acku_dupree_slide_1951_02001.tif,,Louis Dupree and Nancy Dupree Collection,,1951,1951,,,,5 cm x 5 cm,1 Photograph,35 mm Slide,black-and-white photographs,eng,acku_dupree_slide_1951_02001,"Fussman, Gerard",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1951|~|Afghanistan|~|Baghlan|~|Surkh Kotal|~|Red Pass|~|Staircase|~|Terraces|~|Landscapes|~|Side View|~|Hills|~|Black and White,,
Work,"Surkh Kotal Temple; Near Pul-i-Khumri, Baghlan Province 2",ark:/21198/z1dz21z0,ark:/21198/z16d7kmn,sadfdsf./acku_dupree_slide_1951_02004.tif,,Louis Dupree and Nancy Dupree Collection,,1951,1951,,,,5 cm x 5 cm,1 Photograph,35 mm Slide,black-and-white photographs,eng,acku_dupree_slide_1951_02004,"Fussman, Gerard",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1951|~|Afghanistan|~|Baghlan|~|Pul-i-Khumri|~|Surkh Kotal|~|Red Pass|~|Temple|~|Pilaster|~|Fire Altar|~|Black and White,,
Work,"Surkh Kotal Temple; Near Pul-i-Khumri, Baghlan Province 3",ark:/21198/z196196j,ark:/21198/z16d7kmn,sadfdsf./acku_dupree_slide_1951_02005.tif,,Louis Dupree and Nancy Dupree Collection,,1951,1951,,,,5 cm x 5 cm,1 Photograph,35 mm Slide,black-and-white photographs,eng,acku_dupree_slide_1951_02005,"Fussman, Gerard",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1951|~|Afghanistan|~|Baghlan|~|Pul-i-Khumri|~|Surkh Kotal|~|Red Pass|~|Temple|~|Birds|~|Altar|~|Reconstruction|~|Black and White,,
Work,Surkh Kotal Temple; Baghlan Province 1,ark:/21198/z15f0jfc,ark:/21198/z16d7kmn,sadfdsf./acku_dupree_slide_1951_02006.tif,,Louis Dupree and Nancy Dupree Collection,,1951,1951,,,,5 cm x 5 cm,1 Photograph,35 mm Slide,black-and-white photographs,eng,acku_dupree_slide_1951_02006,"Fussman, Gerard",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1951|~|Afghanistan|~|Baghlan|~|Surkh Kotal|~|Red Pass|~|Temple|~|Non-Buddhist|~|King Kanishka|~|Courtyard|~|Niches|~|Plan,,
Work,Surkh Kotal Temple; Baghlan Province 2,ark:/21198/z11n9spn,ark:/21198/z16d7kmn,sadfdsf./acku_dupree_slide_1951_02007.tif,,Louis Dupree and Nancy Dupree Collection,,1951,1951,,,,5 cm x 5 cm,1 Photograph,35 mm Slide,black-and-white photographs,eng,acku_dupree_slide_1951_02007,"Fussman, Gerard",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1951|~|Afghanistan|~|Baghlan|~|Surkh Kotal|~|Red Pass|~|Temple|~|Fragmentary Statues|~|King Kanishka|~|Black and White,,
Work,Paktia 1,ark:/21198/z1ww998n,ark:/21198/z16d7kmn,sadfdsf./acku_dupree_slide_1962_03064.tif,,Louis Dupree and Nancy Dupree Collection,,1962,1962,,,,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1962_03064,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1962|~|Afghanistan|~|Paktia|~|Houses|~|Snows|~|Mountains|~|Valley|~|Landscapes,,
