Object Type,Title,Item ARK,Parent ARK,File Name,AltTitle.other,collection.physical,Contents note,Date.created,Date.normalized,Description.latitude,Description.longitude,Description.note,Format.dimensions,Format.extent,Format.medium,Genre,Language,Local identifier,Name.creator,Named subject,Note,Place of origin,Publisher.publisherName,Repository,Resource type,Rights.copyrightStatus,Rights.rightsHolderContact,Statement of Responsibility,Subject,Subject geographic,Subject temporal
Collection,Arab Image Foundation Photo Negatives,ark:/21198/z1cg1h7v,,afdsfa/,,,,,,,,"In recent times, Lebanon has faced an economic crisis and sociopolitical conflict that has threatened the preservation of some of the country's cultural heritage. This includes historical visualization pieces such as photography. To combat this endangerment, the Arab Image Foundation (AIF) project will digitize a collection of photographic films that captures a wide array of photographic practices conducted in 20th century Lebanon. The collection includes cellulose acetate and cellulose nitrate films, which the AIF will re-house to more secure storage conditions and digitize to make accessible to users online.The Arab Image Foundation (AIF) has selected a collection for digitization that represents a large range of photography methods-- from commercial studio use by professionals to personal use (e.g. family shots) by non-professionals. The materials represent a visual and social history of Lebanon and the Middle East that showcases the diversity and complexity of cultural practices captured via photography. 

Through the AIF's digitized work, users can access not just the practice of photography in Lebanon, but also a wider range of concepts representations of self-image, intimacy, domesticity, and the development of modernity in Lebanon. This collection contextualizes these ideas through visualizations of tension between private and public space within and outside of Lebanon, including countries such as Syria, Egypt, Iran, and Iraq.

Lebanon’s current socioeconomic crisis has caused a rift in social unrest and has put cultural heritage, such as this collection, at risk of damage or loss of access. The AIF’s work to preserve these photographic materials is absolutely essential and will allow users to explore spaces throughout Lebanon and in a variety of other countries.",,,,,,,,,,,,Arab Image Foundation,,copyrighted,hello@arabimagefoundation.org,,,,
Work,Snapshot of construction workers and other dwellers 1,ark:/21198/z1418q6w,ark:/21198/z1cg1h7v,afdsfa/0002kh00067_DC01M.pdf,,Fouad el Khoury Collection,,1923,1923,,,,8.7 cm x 11.9 cm,1 photograph,Gelatin silver negative on cellulose nitrate film,black-and-white photographs,,0002kh00067,,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,construction|~|labor|~|physical labor|~|traditional attire|~|collective work|~|mountain countryside|~|community|~|gender roles|~|gender norms|~|social hierarchy|~|roman catholicism|~|catholicism|~|christianity|~|faith|~|nature,Bhannes (Lebanon),
Work,Snapshot of construction workers and other dwellers 2,ark:/21198/z1087zg5,ark:/21198/z1cg1h7v,afdsfa/0002kh00068_DC01M.pdf,,Fouad el Khoury Collection,,1923,1923,,,,8.7 cm x 11.9 cm,1 photograph,Gelatin silver negative on cellulose nitrate film,black-and-white photographs,,0002kh00068,,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,construction|~|labor|~|physical labor|~|traditional attire|~|collective work|~|mountain countryside|~|community|~|gender roles|~|gender norms|~|social hierarchy|~|roman catholicism|~|catholicism|~|christianity|~|faith|~|nature,Bhannes (Lebanon),
Work,Snapshot of construction workers and other dwellers 3,ark:/21198/z1vh7g08,ark:/21198/z1cg1h7v,afdsfa/0002kh00069_DC01M.pdf,,Fouad el Khoury Collection,,1923,1923,,,,8.7 cm x 11.9 cm,1 photograph,Gelatin silver negative on cellulose nitrate film,black-and-white photographs,,0002kh00069,,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,construction|~|labor|~|physical labor|~|traditional attire|~|collective work|~|mountain countryside|~|community|~|gender roles|~|gender norms|~|social hierarchy|~|roman catholicism|~|catholicism|~|christianity|~|faith|~|nature,Bhannes (Lebanon),
Work,Snapshot of construction workers and other dwellers 4,ark:/21198/z1qr6q6n,ark:/21198/z1cg1h7v,afdsfa/0002kh00070_DC01M.pdf,,Fouad el Khoury Collection,,1923,1923,,,,8.7 cm x 11.9 cm,1 photograph,Gelatin silver negative on cellulose nitrate film,black-and-white photographs,,0002kh00070,,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,construction|~|labor|~|physical labor|~|traditional attire|~|collective work|~|mountain countryside|~|community|~|gender roles|~|gender norms|~|social hierarchy|~|roman catholicism|~|catholicism|~|christianity|~|faith|~|nature,Bhannes (Lebanon),
Work,Group snapshot of community members gathering in front of entrance facility building,ark:/21198/z1m05zhp,ark:/21198/z1cg1h7v,afdsfa/0002kh00071_DC01M.pdf,,Fouad el Khoury Collection,,1923,1923,,,,8.5 cm x 11.3 cm,1 photograph,Gelatin silver negative on cellulose nitrate film,black-and-white photographs,,0002kh00071,,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,community|~|religion|~|christianity|~|catholicism|~|gender norms|~|gender roles|~|motherhood|~|family|~|mountain countryside|~|traditional attire|~|formal attire|~|social hierarchy|~|childhood|~|priesthood|~|church|~|catholic church|~|roman catholicism|~|catholicism|~|christianity|~|roman catholic church|~|faith,Bhannes (Lebanon),
Work,Group portrait of construction workers 1,ark:/21198/z1g756v7,ark:/21198/z1cg1h7v,afdsfa/0002kh00072_DC01M.pdf,,Fouad el Khoury Collection,,1923,1923,,,,11.5 cm x 8.4 cm,1 photograph,Gelatin silver negative on cellulose nitrate film,black-and-white photographs,,0002kh00072,,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,labor|~|physical labor|~|working class|~|nationalism|~|french mandate|~|smoking|~|drinking|~|masculinity|~|colonialism,Bhannes (Lebanon),
Work,Snapshot of two priests in front of Saint Vincent de Paul's statue,ark:/21198/z1bk35fw,ark:/21198/z1cg1h7v,afdsfa/0002kh00073_DC01M.pdf,,Fouad el Khoury Collection,,1923,1923,,,,11.8 cm x 8.7 cm,1 photograph,Gelatin silver negative on cellulose nitrate film,black-and-white photographs,,0002kh00073,,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,religion|~|christianity|~|catholicism|~|roman catholicism|~|roman catholic church|~|sainthood|~|priesthood|~|catholic church|~|faith,Bhannes (Lebanon),
Work,General view of the Bhannes Sanatorium 1,ark:/21198/z16t2dth,ark:/21198/z1cg1h7v,afdsfa/0002kh00074_DC01M.pdf,,Fouad el Khoury Collection,,1923,1923,,,,8.5 cm x 10.9 cm,1 photograph,Gelatin silver negative on cellulose nitrate film,black-and-white photographs,,0002kh00074,,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,modern architecture|~|construction|~|mental health asylum|~|mental health|~|mental health facility|~|hospital|~|nature,Bhannes (Lebanon),
Work,General view of the Bhannes Sanatorium's chapel 1,ark:/21198/z1321p22,ark:/21198/z1cg1h7v,afdsfa/0002kh00075_DC01M.pdf,,Fouad el Khoury Collection,,1923,1923,,,,11.6 cm x 8.4 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0002kh00075,,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,modern architecture|~|construction|~|religion|~|christianity|~|catholicism|~|roman catholicism|~|church|~|catholic church|~|roman catholic church|~|faith,Bhannes (Lebanon),
Work,General view of a bird house with part of a building visible in the background,ark:/21198/z1z915hv,ark:/21198/z1cg1h7v,afdsfa/0002kh00076_DC01M.pdf,,Fouad el Khoury Collection,,1923,1923,,,,11.5 cm x 8.4 cm,1 photograph,Gelatin silver negative on cellulose nitrate film,black-and-white photographs,,0002kh00076,,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,modern architecture|~|construction|~|wild life,Bhannes (Lebanon),
Work,Group portrait of workers on site 3,ark:/21198/z1tj0drp,ark:/21198/z1cg1h7v,afdsfa/0002kh00077_DC01M.pdf,,Fouad el Khoury Collection,,1923,1923,,,,8.4 cm x 11.5 cm,1 photograph,Gelatin silver negative on cellulose nitrate film,black-and-white photographs,,0002kh00077,,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,construction|~|labor|~|physical labor|~|traditional attire|~|collective work|~|community|~|gender norms|~|childhood|~|drinking|~|working class,Bhannes (Lebanon),
Work,Group portrait of workers on site 4,ark:/21198/z1pr9p1t,ark:/21198/z1cg1h7v,afdsfa/0002kh00078_DC01M.pdf,,Fouad el Khoury Collection,,1923,1923,,,,8.4 cm x 11.5 cm,1 photograph,Gelatin silver negative on cellulose nitrate film,black-and-white photographs,,0002kh00078,,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,construction|~|labor|~|physical labor|~|traditional attire|~|collective work|~|community|~|gender norms|~|childhood|~|drinking|~|working class,Bhannes (Lebanon),
