Object Type,Title,Item ARK,Parent ARK,File Name,AltTitle.other,collection.physical,Contents note,Date.created,Date.normalized,Description.latitude,Description.longitude,Description.note,Format.dimensions,Format.extent,Format.medium,Genre,Language,Local identifier,Name.creator,Named subject,Note,Place of origin,Publisher.publisherName,Repository,Resource type,Rights.copyrightStatus,Rights.rightsHolderContact,Statement of Responsibility,Subject,Subject geographic,Subject temporal,Creator
Collection,Ibicaba Farm Records,ark:/21198/z15t5c4z,,afdfasdf/,,,,,,,,"Ibicaba Farm, located in the countryside of São Paulo, played an outstanding role in Brazilian history. It was there that the first experiments with European bonded labor were conducted, in a process related to the abolition of slavery and the insertion of Brazil into the Age of Mass Migration. This project provides the inventory and digitizes the farm’s archives from its second administration, when an immigrant family became the farm’s proprietor (1890-1970). By safeguarding these unique and unexplored sources, the project fosters our understanding of labor relations in Latin American plantations and their socioeconomic, cultural and political dynamics.A team of researchers from the University of Göttingen (Germany) and Centro de Memória da UNICAMP (Brazil) have focused on digitizing a collection of historical archives containing records belonging to Farm Ibicaba. These records include administrative manuscripts, printed publications, accounting documents, and more-- all dating from the 1890’s to the 1970’s. Through the team’s digitization work, these materials will help in expanding knowledge on the socioeconomic, cultural, and political dynamics within Latin American plantations.

The content revolves around the farm’s administration, daily life, and economic production. The accounting books, for instance, include information about laborers’ daily activities, productivity under various contracts, workers’ remunerations, and livelihoods. Such content will present a part of history of both Brazilians and immigrant workers of various nationalities. This is especially valuable to any descendants of the farm workers who seek to explore their ancestry.

As early as the 1840’s, Farm Ibicaba introduced immigrant labor to work alongside slave labor in the coffee plantations-- an experiment which soon gained traction across other plantations in São Paulo. This caused some lasting consequences for the regional economy and society. The farm’s administrative documents record this big shift. With this collection, users will be able to better analyze a specific case of labor administration and how various roles came into play in this setting.

The manuscripts are of academic value for various research branches, including labor history; economics of contractual design; sociology of immigration; political history of labor and immigration to Brazil; and cultural life in a plantation-based society following the transition from slavery. Making these manuscripts available online will not only preserve the historical content of an endangered archive but will also democratize the access to this type of information.",,,,,,,,,,,,"Fazenda Ibicaba (Cordeirópolis, SP)",,copyrighted,Proprietors of Ibicaba farm: please refer to Mr. Theodoro Hayden Carvalhaes: Telephones 0055 19 3546 1012 or 0055 19 99825 6466; fazendaibicaba@fazendaibicaba.com.br,,,,,
Work,"Livro de colheita, beneficiamento e expedição de café da fazenda Ibicaba. Livro #22 (1900-1911)",ark:/21198/z1xd2t94,ark:/21198/z15t5c4z,afdfasdf/ibicaba_0022_cafe_colheita_beneficio_1900_1911.pdf,,,"(1) Ledger without front and back covers. (2) Stamp of typography ""Farani Magaldi & C. Limeira"" in the cover sheet. (3) There is a number of extra sheets originally put on: (3.1) Page 138: “Relação dos cafés comprados por J. Levy & Cia.” [Coffee production acquired by J. Levy & Co.] (November 1908); (3.2) Page 224: Two fragments with arithmetic operations; (3.3) Page 314: An impaired piece of paper. (4) In the last pages of this ledger there is information about the payment of extra staff,  quotations of electrical material, data on  electrical installations of the farm, and on the buying of coffee from Fazenda Velha (without date).|~|(1) Livro sem capa e contracapa. (2) Carimbo da tipografia ""Farani Magaldi & C. Limeira"" na folha de rosto. (3) Há várias folhas extras originalmente colocadas em: (3.1) Página 138: “Relação dos cafés comprados por J. Levy & Cia.” (Novembro de 1908); (3.2) Página 224: Dois fragmentos com operações aritméticas; (3.3) Página 314: Pedaço de papel danificado. (4) Nas páginas finais deste livro há informações sobre pagamentos de pessoal extra, cotações de material elétrico, dados de instalação elétrica na fazenda e compra de café da Fazenda Velha (sem data).",From May 1900 to October 1911,1900-05/1911-10,,,"Ledger registering the production and commercialization of coffee by Ibicaba farm to other producers and from Ibicaba farm directly to the market. The ledger includes data on coffee beans harvested per laborer per day until page 202, where information on the processing of the coffee beans starts. There is also data on  proceesing by type of beans and shipping to the market.|~|Livro de registro da produção e comercialização de café pela fazenda Ibicaba a terceiros e da fazenda diretamente para o mercado. O livro traz dados sobre a colheita de café por trabalhador por dia até a página 202, na qual se iniciam as informações sobre o beneficiamento dos grãos. Há dados também sobre o processamento dos grãos por tipo e da expedição para o mercado.",32.5 x 24.5 cm,408 pages,,ledgers (account books),por|~|ita,Livro 0022|~|Ledger 0022,"Fazenda Ibicaba (Cordeirópolis, SP)",,,,,"Fazenda Ibicaba (Cordeirópolis, SP)",text,public domain,Proprietors of Ibicaba farm: please refer to Mr. Theodoro Hayden Carvalhaes: Telephones 0055 19 3546 1012 or 0055 19 99825 6466; fazendaibicaba@fazendaibicaba.com.br,,coffee plantations|~|coffee growers|~|coffee--harvesting|~|coffee--processing|~|farm management|~|records and correspondence|~|coffee--industry--Brazil,,First Brazilian Republic (1889-1930),Administration of Ibicaba farm (1900-1911)
Work,Folhas de pagamento dos trabalhadores nas colônias da fazenda Ibicaba. Livro #23 (1901-1906),ark:/21198/z1sn22jb,ark:/21198/z15t5c4z,afdfasdf/ibicaba_0023_pgtotrabalhadores_1901_1906.pdf,,,"(1) Ledger without front cover. (2) Incomplete ledger: missing pages 1-2 (or cover  sheet) and 143-144. (3) Extra document originally put in the back cover: handwritten note about payment and credit supplied (possibly to a colonist); stamped in its verse:  ""Levy & Irmão --- Fazenda do Ibicaba / E. Cordeiro"".|~|(1) Livro sem capa. (2) Livro incompleto: faltam as páginas 1-2 (ou contracapas) e 143-144. (3) Documento avulso originalmente colocado na contracapa: nota manuscrita de pagamento e adiantamento (possivelmente a colono); carimbado no verso: ""Levy & Irmão --- Fazenda do Ibicaba / E. Cordeiro"".",From May 1901 to May 1906,1901-05/1906-05,,,"Ledger composed by laborers'  payrolls in the farm divided by categories and tasks: weeding/hoeing, harvesting, and other activities of the colonists (“colonos”); periodical payments to farm laborers (“camaradas”) and ordinary laborers. Systematic division per colony (Cabeceira, Centro, Colônia Grande, Lage, Gramma Larga, Morro Alto, Saltinho e Teteia). Period: from May 1901 to May 1906.|~|Livro com as folhas de pagamento dos trabalhadores da fazenda, discriminados por categorias e atividades: carpas, colheitas e atividades extras dos colonos; pagamentos periódicos a camaradas e empregados ordinários. Subdivisão sistemática por colônias (Cabeceira, Centro, Colônia Grande, Lage, Gramma Larga, Morro Alto, Saltinho e Teteia). Período: de maio de 1901 a maio de 1906",33.5 x 22 cm,400 pages,,ledgers (account books),por,Livro 0023|~|Ledger 0023,"Fazenda Ibicaba (Cordeirópolis, SP)",,,,,"Fazenda Ibicaba (Cordeirópolis, SP)",text,public domain,Proprietors of Ibicaba farm: please refer to Mr. Theodoro Hayden Carvalhaes: Telephones 0055 19 3546 1012 or 0055 19 99825 6466; fazendaibicaba@fazendaibicaba.com.br,,coffee plantation workers|~|payrolls|~|wages--accounting|~|labor costs|~|agricultural laborers|~|farm management|~|records and correspondence,,First Brazilian Republic (1889-1930),Administration of Ibicaba farm (1901-1906)
Work,Livro ponto de trabalhadores. Livro #24 (1901-1902),ark:/21198/z1nw19s5,ark:/21198/z15t5c4z,afdfasdf/ibicaba_0024_livroponto_1901_1902.pdf,,,"(1) Seal of  typography ""Casa Livro Azul"" glued to the cover sheet. (2) Entries and corrections in the timesheets ticked/made by the farm's administration in red and blue pencils.|~|(1) Selo da tipografia ""Casa Livro Azul"" colado na folha de rosto. (2) Entradas e correções no livro ponto conferidas pela administração da fazenda a lápis vermelho e azul.",From June 1901 to May 1902,1901-06/1902-05,,,"Timesheet of daily workers (i.e. ""camaradas"" [also per piece rate]) and other laborers. Various labor categories: daily & piece rate laborers (camaradas), monthly workers, skilled laborers/artisans (artistas) etc. Period: from June 1901 to May 1902. Detailed information about laborers' names, professions, number of worked days per month (from 1st to 31st), daily remuneration (""ordenado""), total labor income, and observations.|~|Livro de ponto dos camaradas e outros trabalhadores. Diversas categorias de trabalhadores: camaradas, trabalhadores mensais, artesãos etc. Período: de junho de 1901 a maio de 1902. Detalhamento por nome, profissão, dias trabalhados por mês (de 1 a 31), remuneração diária (""ordenado""), renda total do trabalho e observações.",32 x 23 cm,100 pages,,ledgers (account books),por,Livro 0024|~|Ledger 0024,"Fazenda Ibicaba (Cordeirópolis, SP)",,,,,"Fazenda Ibicaba (Cordeirópolis, SP)",text,public domain,Proprietors of Ibicaba farm: please refer to Mr. Theodoro Hayden Carvalhaes: Telephones 0055 19 3546 1012 or 0055 19 99825 6466; fazendaibicaba@fazendaibicaba.com.br,,coffee plantation workers|~|agricultural laborers|~|farm management|~|records and correspondence,,First Brazilian Republic (1889-1930),Administration of Ibicaba farm (1901-1902)
Work,Livro ponto de trabalhadores. Livro #26 (1902-1903),ark:/21198/z1j40k3m,ark:/21198/z15t5c4z,afdfasdf/ibicaba_0026_livroponto_1902_1903.pdf,,,"(1) Incomplete ledger: back cover and last pages are missing; however, the last remaining page is blank, suggesting that the ledger is otherwise complete. (2) Small seal of typography ""Casa Livro Azul"" glued to the left-upper corner of the cover sheet. (3) Entries and corrections in the timesheets ticked/made by the farm's administration in red and blue pencils.|~|(1) Livro incompleto: faltam a contracapa e as páginas finais; a última página, porém, está em branco, sugerindo que o restante do livro está completo. (2) Pequeno selo da tipografia ""Casa Livro Azul"" colado na folha de rosto, no canto superior esquerdo. (3) Entradas e correções no livro ponto conferidas pela administração da fazenda a lápis vermelho e azul.",From June 1902 to November 1903,1902-06/1903-11,,,"Timesheet of daily workers (i.e. ""camaradas"" [also per piece rate]) and other types of laborers. Various labor categories: daily & piece rate laborers (camaradas), monthly workers, skilled laborers/artisans (artistas) etc. Period: from June 1902 to November 1903. Detailed information about laborers' names, professions, number of worked days per month (from 1st to 31st), daily remuneration (""ordenado""), total labor income, and observations.|~|Livro de ponto dos camaradas e outros trabalhadores. Diversas categorias de trabalhadores: camaradas, trabalhadores mensais, artesãos etc. Período: de junho de 1902 a novembro de 1903. Detalhamento por nome, profissão, dias trabalhados por mês (de 1 a 31), remuneração diária (""ordenado""), renda total do trabalho e observações.",38.5 x 27 cm,96 pages,,ledgers (account books),por,Livro 0026|~|Ledger 0026,"Fazenda Ibicaba (Cordeirópolis, SP)",,,,,"Fazenda Ibicaba (Cordeirópolis, SP)",text,public domain,Proprietors of Ibicaba farm: please refer to Mr. Theodoro Hayden Carvalhaes: Telephones 0055 19 3546 1012 or 0055 19 99825 6466; fazendaibicaba@fazendaibicaba.com.br,,coffee plantation workers|~|agricultural laborers|~|farm management|~|records and correspondence,,First Brazilian Republic (1889-1930),Administration of Ibicaba farm (1902-1903)
Work,Contas correntes dos trabalhadores. Livro #27 (1902-1905),ark:/21198/z1db9tf7,ark:/21198/z15t5c4z,afdfasdf/ibicaba_0027_contacorrente_trabalhadores_1902_1905.pdf,,,"(1) Seal of ""Typographia a Vapor [...] Pauperio & Cia."" glued to the cover sheet. (2) Official stamp of the Commercial Registry (“Junta Commercial”) in the first blank sheet; official registries in the same sheet and in the last blank page. (3) Extra document: Receipt of the Municipal Chamber of Limeira to Mr. Francisco Joppe for the payment of “road taxes” (“imposto de caminho”) (1905), originally put on the back coversheets.|~|(1) Selo da ""Typographia a Vapor [...] Pauperio & Cia."" colado na folha de rosto. (2) Carimbo oficial da ""Junta Commercial"" na primeira folha em branco; registros oficiais na mesma folha e na última página em branco. (3) Documento extra: Recibo da Câmara Municipal de Limeira ao Sr. Francisco Joppe pelo pagamento do imposto de caminho (1905), originalmente colocado nas folhas da contracapa.",From December 1902 to December 1905,1902-12/1905-12,,,Workers' checking accounts. No specification of laborers' categories. Period: from December 1902 to December 1905.|~|Contas correntes dos trabalhadores. Sem especificação das categorias dos trabalhadores. Período: de dezembro de 1902 a dezembro de 1905.,41 x 30 cm,604 pages,,ledgers (account books),por,Livro 0027|~|Ledger 0027,"Fazenda Ibicaba (Cordeirópolis, SP)",,,,,"Fazenda Ibicaba (Cordeirópolis, SP)",text,public domain,Proprietors of Ibicaba farm: please refer to Mr. Theodoro Hayden Carvalhaes: Telephones 0055 19 3546 1012 or 0055 19 99825 6466; fazendaibicaba@fazendaibicaba.com.br,,coffee plantation workers|~|checking accounts|~|agricultural laborers|~|farm shops|~|farm management|~|records and correspondence,,First Brazilian Republic (1889-1930),Administration of Ibicaba farm (1902-1905)
Work,Conta corrente da fazenda Ibicaba e proprietários (Conta dos correspondentes). Livro #28 (1905-1908),ark:/21198/z18k92pf,ark:/21198/z15t5c4z,afdfasdf/ibicaba_0028_contacorrente_extra_1905_1908.pdf,,,"(1) Seal of ""Papelaria Ribeiro, Macedo & Comp. […] Rio de Janeiro"" in the coversheet. (2) Stamp of typography ""Farani Magaldi & C. Limeira"" in the second blank page. (3) Eventual checks made by the administration in blue or red pencil, with corrections made in red (please notice that the administration did not conduct such checks and corrections uniformly throughout the ledger).|~|(1) Selo da ""Papelaria Ribeiro, Macedo & Comp. […] Rio de Janeiro"" na folha de rosto. (2) Carimbo da tipografia ""Farani Magaldi & C. Limeira"" na segunda página em branco. (3) Eventuais checagens feitas pela administração a lápis azul ou vermelho, com correções feitas em vermelho (nota: as checagens e correções não foram feitas pela administração uniformemente ao longo de todo o livro).",From January 1905 to December 1908,1905-01/1908-12,,,"Extra current account with transactional data from members of family Levy among those of the administration of the Ibicaba farm (equivalent to an accounting ledger of customers and commercial partners). Various categories of commercial partners, service providers, creditors, and debtors. Under headings corresponding to a private individual or a legal person, there is a list of credit/debt transactions. It is possible that Colonel José Levy himself or other members of family Levy wrote these registries. Period: from January 1905 to December 1908.|~|Conta corrente extra, com dados transacionais de membros da família Levy, intercalados com contas correntes da admnistração da fazenda Ibicaba (equivalente: ""Conta dos correspondentes""). Diversas categorias de parceiros comerciais, fornecedores de serviços, credores e devedores. Sob o cabeçalho de cada pessoa física ou jurídica, listagem do crédito ou débito das transações correspondentes. É possível que os registros tenham sido feitos pelo próprio Coronel José Levy ou por membros da família Levy. Período: de janeiro de 1905 a dezembro de 1908.",32.5 x 22.5 cm,306 pages,,ledgers (account books),por|~|ita,Livro 0028|~|Ledger 0028,"Fazenda Ibicaba (Cordeirópolis, SP)",,,,,"Fazenda Ibicaba (Cordeirópolis, SP)",text,public domain,Proprietors of Ibicaba farm: please refer to Mr. Theodoro Hayden Carvalhaes: Telephones 0055 19 3546 1012 or 0055 19 99825 6466; fazendaibicaba@fazendaibicaba.com.br,,accounts current|~|balance of trade|~|commercial documents|~|farm management|~|records and correspondence|~|coffee--industry--Brazil,,First Brazilian Republic (1889-1930),Administration of Ibicaba farm (1905-1908)
Work,Contas correntes dos trabalhadores. Livro #30 (1905-1907),ark:/21198/z14x71dw,ark:/21198/z15t5c4z,afdfasdf/ibicaba_0030_contacorrente_trabalhadores_1905_1907.pdf,,,"(1) Seal of  typography ""Ao Livro Azul"" glued to the cover sheet. (2) Title ""Livro 7o."" handwritten on the back of the first blank page.|~|(1) Selo da tipografia ""Ao Livro Azul"" colado na folha de rosto. (2) Título ""Livro 7o."" escrito no verso da primeira página em branco.",From April 1905 to September 1907,1905-04/1907-09,,,Workers' checking accounts. The occasional indications of laborers' categories and of colonies are sparse. Period: from April 1905 to September 1907.|~|Contas correntes dos trabalhadores. Eventuais especificações de categorias dos trabalhadores e colônias são  esparsas. Período: de abril de 1905 a setembro de 1907.,40 x 26.5 cm,606 pages,,ledgers (account books),por,Livro 0030|~|Ledger 0030,"Fazenda Ibicaba (Cordeirópolis, SP)",,,,,"Fazenda Ibicaba (Cordeirópolis, SP)",text,public domain,Proprietors of Ibicaba farm: please refer to Mr. Theodoro Hayden Carvalhaes: Telephones 0055 19 3546 1012 or 0055 19 99825 6466; fazendaibicaba@fazendaibicaba.com.br,,coffee plantation workers|~|checking accounts|~|agricultural laborers|~|farm shops|~|farm management|~|records and correspondence,,First Brazilian Republic (1889-1930),Administration of Ibicaba farm (1905-1907)
Work,Folhas de pagamento dos trabalhadores da fazenda Ibicaba. Livro #31 (1906-1917),ark:/21198/z11568pg,ark:/21198/z15t5c4z,afdfasdf/ibicaba_0031_pgtotrabalhadores_1906_1917.pdf,,,"(1) Ledger with cover, but without back cover. (2) Entries and corrections ticked/made by the farm's administration in red and blue pencils throughout the entire ledger. (3) Loose sheet originally put between pages 314-315 with the note: ""Payment to colonists (""Colonos"") / Session / Demarchi [laborer's family name] / Morro Alto"".|~|(1) Livro com capa, mas sem a contracapa. (2) Entradas e correções conferidas pela administração da fazenda a lápis vermelho e azul ao longo de todo o livro. (3) Papel avulso originalmente colocado entre as páginas 314-315, com a nota: ""Pagamento a Colonos / Seccção / Demarchi / Morro Alto"".",From June 1906 to April 1917,1906-06/1917-04,,,"Ledger composed by laborers’ payrolls in the farm divided by categories and tasks: weeding/hoeing, harvesting, and other activities of the colonists (“colonos”); periodical payments to farm laborers (“camaradas”) and ordinary laborers. Systematic division per colony (Centro, Colônia Grande, Gramma Larga, Lage, Morro Alto, Saltinho, and Teteia). Period: from June 1906 to April 1917.|~|Livro com as folhas de pagamento dos trabalhadores da fazenda, discriminados por categorias e atividades: carpas, colheitas e atividades extras dos colonos; pagamentos periódicos a camaradas e empregados ordinários. Subdivisão sistemática por colônias (Centro, Colônia Grande, Gramma Larga, Lage, Morro Alto, Saltinho e Teteia). Período: de junho de 1906 a abril de 1917.",33 x 23 cm,580 pages,,ledgers (account books),por,Livro 0031|~|Ledger 0031,"Fazenda Ibicaba (Cordeirópolis, SP)",,,,,"Fazenda Ibicaba (Cordeirópolis, SP)",text,public domain,Proprietors of Ibicaba farm: please refer to Mr. Theodoro Hayden Carvalhaes: Telephones 0055 19 3546 1012 or 0055 19 99825 6466; fazendaibicaba@fazendaibicaba.com.br,,coffee plantation workers|~|payrolls|~|wages--accounting|~|labor costs|~|agricultural laborers|~|farm management|~|records and correspondence,,First Brazilian Republic (1889-1930),Administration of Ibicaba farm (1906-1917)
Work,Livro ponto de trabalhadores. Livro #33 (1907-1909),ark:/21198/z1wd5s49,ark:/21198/z15t5c4z,afdfasdf/ibicaba_0033_livroponto_1907_1909.pdf,,,"(1) Stamp of typography ""Casa Livro Azul"" in the cover sheet. (2) Entries in the timesheets ticked by the farm's administration in blue pencil. (3) Extra page with arithmetic operations in its back; watermark (not viewable in the photography) of ""Forum Brasiliensis"".|~|(1) Carimbo da tipografia ""Casa Livro Azul"" na folha de rosto. (2) Entradas no livro ponto conferidas pela administração da fazenda a lápis azul. (3) Página extra com operações aritméticas no verso; marca d'água (não visível na fotografia): ""Fórum Brasiliensis"".",From November 1907 to September 1909,1907-11/1909-09,,,"Timesheet of daily workers (i.e. ""camaradas"" [also per piece rate]) and other types of laborers. Various labor categories: daily & piece rate laborers (camaradas), monthly workers, skilled laborers/artisans (artistas) etc. Period: from November 1907 to September 1909. Detailed information about laborers' names, professions, number of worked days per month (from 1st to 31st), daily remuneration (""ordenado""), total labor income, and observations.|~|Livro de ponto dos camaradas e outros trabalhadores. Diversas categorias de trabalhadores: camaradas, trabalhadores mensais, artesãos etc. Período: de novembro de 1907 a setembro de 1909. Detalhamento por nome, profissão, dias trabalhados por mês (de 1 a 31), remuneração diária (""ordenado""), renda total do trabalho e observações.",38 x 27 cm,98 pages,,ledgers (account books),por,Livro 0033|~|Ledger 0033,"Fazenda Ibicaba (Cordeirópolis, SP)",,,,,"Fazenda Ibicaba (Cordeirópolis, SP)",text,public domain,Proprietors of Ibicaba farm: please refer to Mr. Theodoro Hayden Carvalhaes: Telephones 0055 19 3546 1012 or 0055 19 99825 6466; fazendaibicaba@fazendaibicaba.com.br,,coffee plantation workers|~|agricultural laborers|~|farm management|~|records and correspondence,,First Brazilian Republic (1889-1930),Administration of Ibicaba farm (1907-1909)
